STROKE 1
95 143 1775579725.838000
98 133 1775579725.880000
98 131 1775579725.896000
100 129 1775579725.913000
104 127 1775579725.929000
112 125 1775579725.945000
120 123 1775579725.962000
130 122 1775579725.979000
140 122 1775579725.996000
150 122 1775579726.013000
159 123 1775579726.029000
169 128 1775579726.046000
177 134 1775579726.062000
183 141 1775579726.079000
184 149 1775579726.096000
184 157 1775579726.112000
177 162 1775579726.129000
171 166 1775579726.146000
165 168 1775579726.162000
161 169 1775579726.179000
158 171 1775579726.196000
157 172 1775579726.212000
156 172 1775579726.229000

STROKE 2
113 121 1775579726.907000
103 129 1775579726.963000
100 133 1775579726.979000
96 137 1775579726.995000
94 142 1775579727.012000
91 146 1775579727.028000
91 151 1775579727.045000
91 157 1775579727.062000
91 161 1775579727.078000
91 165 1775579727.095000
94 169 1775579727.112000
95 172 1775579727.128000
97 176 1775579727.145000
98 179 1775579727.162000
99 180 1775579727.178000
99 181 1775579727.195000

STROKE 3
186 163 1775579727.572000
193 156 1775579727.613000
193 153 1775579727.630000
194 150 1775579727.646000
197 146 1775579727.663000
203 141 1775579727.679000
212 138 1775579727.696000
222 135 1775579727.712000
233 134 1775579727.729000
243 134 1775579727.746000
250 136 1775579727.762000
255 141 1775579727.779000
260 146 1775579727.796000
263 152 1775579727.812000
264 160 1775579727.829000
264 169 1775579727.845000
263 177 1775579727.862000
260 184 1775579727.879000
257 188 1775579727.896000
254 191 1775579727.912000
251 192 1775579727.929000
248 193 1775579727.946000
244 194 1775579727.962000
240 195 1775579727.979000
236 196 1775579727.996000
233 197 1775579728.012000
230 198 1775579728.029000
229 198 1775579728.046000
228 198 1775579728.062000
226 198 1775579728.079000
223 198 1775579728.095000

STROKE 4
124 199 1775579728.457000
131 201 1775579728.496000
133 207 1775579728.513000
134 213 1775579728.529000
135 221 1775579728.546000
135 226 1775579728.562000
135 231 1775579728.580000
135 234 1775579728.596000
133 235 1775579728.612000
129 236 1775579728.629000
123 236 1775579728.646000
116 236 1775579728.663000
108 236 1775579728.680000
100 236 1775579728.696000
92 236 1775579728.712000
84 235 1775579728.729000
77 231 1775579728.746000
71 228 1775579728.762000
66 224 1775579728.779000
61 220 1775579728.796000
57 215 1775579728.813000
54 210 1775579728.829000
50 202 1775579728.846000
48 193 1775579728.862000
48 182 1775579728.879000
48 170 1775579728.895000
48 159 1775579728.912000
48 148 1775579728.929000
49 139 1775579728.945000
50 131 1775579728.962000
53 123 1775579728.979000
55 116 1775579728.995000
58 108 1775579729.012000
60 101 1775579729.029000
62 94 1775579729.045000
64 88 1775579729.062000
65 82 1775579729.079000
66 76 1775579729.095000
68 70 1775579729.112000
69 64 1775579729.129000
72 59 1775579729.145000
73 56 1775579729.162000
74 54 1775579729.179000
76 53 1775579729.195000
78 52 1775579729.212000
83 51 1775579729.229000
94 50 1775579729.245000
110 49 1775579729.262000
129 49 1775579729.279000
148 49 1775579729.295000
163 49 1775579729.312000
173 49 1775579729.329000
179 49 1775579729.345000
181 49 1775579729.362000
181 49 1775579729.396000

STROKE 5
178 78 1775579729.773000
193 71 1775579729.864000
204 68 1775579729.880000
215 66 1775579729.896000
225 66 1775579729.913000
233 66 1775579729.930000
240 66 1775579729.946000
246 68 1775579729.963000
250 72 1775579729.979000
253 77 1775579729.995000
253 85 1775579730.012000
253 94 1775579730.029000
248 103 1775579730.045000
241 111 1775579730.062000
233 117 1775579730.079000
224 122 1775579730.095000
213 125 1775579730.112000
201 126 1775579730.129000
191 127 1775579730.145000
182 127 1775579730.162000
177 127 1775579730.179000
172 124 1775579730.195000
170 120 1775579730.212000
168 116 1775579730.229000
168 112 1775579730.245000
168 108 1775579730.262000
168 105 1775579730.279000
168 103 1775579730.295000
168 101 1775579730.312000
172 100 1775579730.329000
177 100 1775579730.345000
184 100 1775579730.362000
191 100 1775579730.379000
198 101 1775579730.395000
205 102 1775579730.412000
212 104 1775579730.429000
218 106 1775579730.445000
222 108 1775579730.462000
226 110 1775579730.479000
229 112 1775579730.495000
231 115 1775579730.512000
234 116 1775579730.529000
237 118 1775579730.545000
240 120 1775579730.562000
245 122 1775579730.579000

STROKE 6
180 75 1775579731.123000
179 82 1775579731.214000
175 87 1775579731.230000
172 91 1775579731.246000
170 95 1775579731.263000
169 98 1775579731.279000
168 101 1775579731.296000
168 104 1775579731.313000
168 106 1775579731.329000
169 108 1775579731.346000
171 109 1775579731.362000
174 111 1775579731.379000
176 112 1775579731.396000
178 112 1775579731.412000

STROKE 7
320 148 1775579732.423000
317 140 1775579732.463000
317 136 1775579732.479000
316 132 1775579732.496000
314 126 1775579732.513000
312 121 1775579732.529000
310 118 1775579732.545000
308 116 1775579732.563000
307 114 1775579732.579000
305 113 1775579732.595000
303 113 1775579732.613000

STROKE 8
306 192 1775579732.922000
305 192 1775579733.014000
305 185 1775579733.030000
305 179 1775579733.046000
304 173 1775579733.063000
303 170 1775579733.079000
302 167 1775579733.096000
299 165 1775579733.113000
297 164 1775579733.129000

